customer_location,age,gender,mobile_name,sell_price,came_from_facebook,follows_facebook_page,previous_customer,heard_about_shop,engagement_score,engagement_level,price_category
rangamati_sadar,49,f,galaxy_a55_5g_8/128,17073.0,no,yes,no,yes,2,Medium,Medium
inside_rangamati,44,m,redmi_note_12_pro_8/128,15546.0,yes,no,no,yes,2,Medium,Medium
rangamati_sadar,45,m,r-70_turbo_5g_6/128,26516.0,yes,no,no,yes,2,Medium,Medium
rangamati_sadar,46,m,r-70_turbo_5g_6/128,21927.0,no,no,no,yes,1,Low,Medium
outside_rangamati,27,f,vivo_t3x_5g_8/128,16718.0,yes,no,no,yes,2,Medium,Medium
rangamati_sadar,23,f,moto_g85_5g_8/128,22392.0,no,no,no,yes,1,Low,Medium
outside_rangamati,25,m,iqoo_z7_5g_6/128,20702.0,no,no,no,yes,1,Low,Medium
inside_rangamati,26,f,moto_g85_5g_8/128,16090.0,no,no,no,yes,1,Low,Medium
rangamati_sadar,49,m,galaxy_s24_ultra_12/256,12819.0,no,yes,no,no,1,Low,Low
outside_rangamati,45,m,vivo_y200_5g_6/128,13597.0,yes,yes,yes,no,2,Medium,Low
inside_rangamati,27,f,iqoo_neo_9_pro_5g_12/256,40089.0,yes,yes,no,yes,3,High,High
rangamati_sadar,45,m,moto_g85_5g_8/128,18027.0,no,no,no,no,0,Low,Medium
outside_rangamati,47,m,iqoo_z7_5g_6/128,20856.0,no,no,no,no,0,Low,Medium
outside_rangamati,18,f,iqoo_z7_5g_6/128,23106.0,yes,no,no,no,1,Low,Medium
outside_rangamati,47,f,note_11s_6/128,17603.0,no,no,no,yes,1,Low,Medium
inside_rangamati,19,f,galaxy_m35_5g_8/128,25964.0,no,no,no,yes,1,Low,Medium
rangamati_sadar,45,m,galaxy_a55_5g_8/128,24324.0,no,no,no,yes,1,Low,Medium
outside_rangamati,44,f,galaxy_s24_ultra_12/256,15611.0,yes,no,no,no,1,Low,Medium
rangamati_sadar,50,f,vivo_t3x_5g_8/128,26273.0,no,no,no,yes,1,Low,Medium
rangamati_sadar,36,m,pixel_8_pro_12/256,13441.0,no,no,yes,yes,1,Low,Low
inside_rangamati,41,f,note_11s_6/128,16181.0,no,no,yes,yes,1,Low,Medium
inside_rangamati,29,f,note_11s_6/128,23246.0,no,no,no,yes,1,Low,Medium
inside_rangamati,43,f,note_11s_6/128,21776.0,no,no,no,no,0,Low,Medium
outside_rangamati,19,f,narzo_n53_4/64,12865.0,yes,no,yes,yes,2,Medium,Low
inside_rangamati,45,m,note_11s_6/128,23318.0,yes,no,yes,yes,2,Medium,Medium
rangamati_sadar,25,m,r-70_turbo_5g_6/128,24032.0,no,no,yes,no,0,Low,Medium
outside_rangamati,30,m,galaxy_m35_5g_8/128,26174.0,yes,no,no,no,1,Low,Medium
outside_rangamati,34,f,moto_g85_5g_8/128,26118.0,no,no,yes,yes,1,Low,Medium
outside_rangamati,30,m,iqoo_neo_9_pro_5g_12/256,40496.0,no,no,no,yes,1,Low,High
inside_rangamati,38,m,note_11s_6/128,23047.0,no,no,no,yes,1,Low,Medium
inside_rangamati,42,f,galaxy_s24_ultra_12/256,23249.0,no,no,no,no,0,Low,Medium
outside_rangamati,20,f,note_14_pro_5g_8/256,14989.0,no,no,no,yes,1,Low,Low
outside_rangamati,36,f,galaxy_s24_ultra_12/256,37343.0,no,yes,yes,yes,2,Medium,High
inside_rangamati,43,f,note_11s_6/128,13867.0,no,yes,no,yes,2,Medium,Low
inside_rangamati,32,m,vivo_t3x_5g_8/128,16681.0,no,no,no,yes,1,Low,Medium
outside_rangamati,38,f,moto_g85_5g_8/128,21576.0,yes,no,no,yes,2,Medium,Medium
outside_rangamati,30,m,iphone_16_pro_256gb,13285.0,yes,no,no,yes,2,Medium,Low
inside_rangamati,32,m,moto_g85_5g_8/128,26591.0,no,yes,no,no,1,Low,Medium
outside_rangamati,20,m,vivo_y200_5g_6/128,22641.0,no,yes,no,yes,2,Medium,Medium
outside_rangamati,37,f,vivo_t3x_5g_8/128,26294.0,yes,no,no,yes,2,Medium,Medium
outside_rangamati,18,f,pixel_7a_8/128,44608.0,no,no,no,yes,1,Low,High
outside_rangamati,42,m,iqoo_neo_9_pro_5g_12/256,40262.0,yes,no,no,yes,2,Medium,High
inside_rangamati,31,f,moto_g85_5g_8/128,19318.0,yes,no,no,yes,2,Medium,Medium
rangamati_sadar,38,m,moto_g85_5g_8/128,20979.0,yes,no,yes,yes,2,Medium,Medium
rangamati_sadar,19,f,galaxy_a55_5g_8/128,24179.0,yes,no,no,yes,2,Medium,Medium
rangamati_sadar,50,m,iqoo_z7_5g_6/128,16479.0,yes,no,no,yes,2,Medium,Medium
inside_rangamati,27,m,vivo_t3x_5g_8/128,15115.0,yes,yes,yes,no,2,Medium,Medium
rangamati_sadar,31,m,note_11s_6/128,23691.0,no,no,yes,yes,1,Low,Medium
outside_rangamati,39,m,r-70_turbo_5g_6/128,24226.0,no,no,yes,no,0,Low,Medium
inside_rangamati,18,f,note_11s_6/128,14427.0,no,no,no,yes,1,Low,Low
inside_rangamati,21,m,pixel_7a_8/128,44670.0,no,no,yes,no,0,Low,High
outside_rangamati,22,m,iqoo_z7_5g_6/128,20905.0,no,no,no,yes,1,Low,Medium
outside_rangamati,22,f,pixel_7a_8/128,44975.0,no,no,no,no,0,Low,High
rangamati_sadar,22,f,moto_g85_5g_8/128,15063.0,no,no,yes,yes,1,Low,Medium
inside_rangamati,49,f,pixel_7a_8/128,17475.0,no,yes,no,yes,2,Medium,Medium
outside_rangamati,41,m,iphone_16_pro_max_1tb,19566.0,no,no,no,yes,1,Low,Medium
rangamati_sadar,36,m,iqoo_neo_9_pro_5g_12/256,40069.0,yes,no,yes,yes,2,Medium,High
outside_rangamati,21,m,r-70_turbo_5g_6/128,20730.0,yes,yes,yes,yes,3,High,Medium
rangamati_sadar,49,f,iqoo_z7_5g_6/128,20646.0,no,no,no,yes,1,Low,Medium
rangamati_sadar,41,m,note_11s_6/128,13066.0,no,no,no,yes,1,Low,Low
inside_rangamati,19,m,iqoo_z7_5g_6/128,25349.0,no,no,yes,yes,1,Low,Medium
outside_rangamati,25,f,galaxy_a55_5g_8/128,39584.0,no,yes,no,no,1,Low,High
rangamati_sadar,21,m,moto_g85_5g_8/128,26454.0,no,no,no,yes,1,Low,Medium
outside_rangamati,29,f,iphone_16_pro_256gb,66999.0,no,no,yes,no,0,Low,High
rangamati_sadar,40,f,narzo_n53_4/64,25386.0,no,no,yes,yes,1,Low,Medium
outside_rangamati,47,f,pixel_8_pro_12/256,17874.0,no,no,no,yes,1,Low,Medium
outside_rangamati,43,m,pixel_8_pro_12/256,17738.0,no,yes,no,yes,2,Medium,Medium
rangamati_sadar,24,f,pixel_7a_8/128,18449.0,yes,yes,no,no,2,Medium,Medium
rangamati_sadar,35,f,redmi_note_12_pro_8/128,16448.0,no,no,no,yes,1,Low,Medium
rangamati_sadar,43,m,note_14_pro_5g_8/256,36761.0,yes,no,no,no,1,Low,High
outside_rangamati,18,f,redmi_note_12_pro_8/128,26820.0,no,no,no,yes,1,Low,Medium
outside_rangamati,33,f,iphone_16_pro_256gb,16885.0,yes,yes,no,yes,3,High,Medium
inside_rangamati,38,f,vivo_t3x_5g_8/128,25397.0,yes,yes,no,no,2,Medium,Medium
inside_rangamati,47,f,narzo_n53_4/64,16740.0,no,no,no,yes,1,Low,Medium
outside_rangamati,23,f,vivo_y200_5g_6/128,18781.0,no,yes,no,yes,2,Medium,Medium
inside_rangamati,27,m,note_14_pro_5g_8/256,17423.0,no,no,no,yes,1,Low,Medium
inside_rangamati,29,m,iqoo_z7_5g_6/128,20414.0,yes,no,yes,no,1,Low,Medium
inside_rangamati,48,f,vivo_t3x_5g_8/128,26293.0,no,yes,no,yes,2,Medium,Medium
inside_rangamati,20,f,vivo_y200_5g_6/128,17048.0,no,yes,no,yes,2,Medium,Medium
inside_rangamati,25,m,galaxy_a55_5g_8/128,23857.0,yes,no,no,yes,2,Medium,Medium
inside_rangamati,48,m,note_14_pro_5g_8/256,19162.0,yes,yes,no,no,2,Medium,Medium
inside_rangamati,35,m,vivo_y200_5g_6/128,19340.0,yes,no,no,no,1,Low,Medium
inside_rangamati,39,f,moto_g85_5g_8/128,14516.0,no,no,yes,yes,1,Low,Low
inside_rangamati,18,f,pixel_8_pro_12/256,14597.0,no,no,yes,yes,1,Low,Low
outside_rangamati,43,f,moto_g85_5g_8/128,26808.0,no,yes,yes,yes,2,Medium,Medium
outside_rangamati,25,f,note_14_pro_5g_8/256,36465.0,yes,yes,no,no,2,Medium,High
rangamati_sadar,48,m,vivo_y200_5g_6/128,22894.0,yes,no,yes,no,1,Low,Medium
inside_rangamati,25,m,galaxy_a55_5g_8/128,26163.0,no,yes,no,no,1,Low,Medium
outside_rangamati,27,f,galaxy_a55_5g_8/128,13908.0,yes,no,no,yes,2,Medium,Low
outside_rangamati,25,f,pixel_8_pro_12/256,60625.0,no,yes,no,no,1,Low,High
outside_rangamati,25,m,note_14_pro_5g_8/256,21198.0,no,yes,no,yes,2,Medium,Medium
rangamati_sadar,41,f,vivo_t3x_5g_8/128,18995.0,no,yes,no,no,1,Low,Medium
rangamati_sadar,48,m,iqoo_z7_5g_6/128,22053.0,yes,no,no,no,1,Low,Medium
inside_rangamati,31,m,note_14_pro_5g_8/256,21682.0,no,yes,no,yes,2,Medium,Medium
inside_rangamati,26,f,galaxy_m35_5g_8/128,19670.0,no,no,no,yes,1,Low,Medium
outside_rangamati,32,m,moto_g85_5g_8/128,26107.0,yes,no,no,yes,2,Medium,Medium
outside_rangamati,46,m,moto_g85_5g_8/128,16888.0,yes,yes,no,no,2,Medium,Medium
inside_rangamati,34,f,iqoo_z7_5g_6/128,21507.0,no,no,yes,yes,1,Low,Medium
outside_rangamati,41,f,moto_g85_5g_8/128,26223.0,no,no,no,no,0,Low,Medium
rangamati_sadar,25,f,r-70_turbo_5g_6/128,16267.0,no,no,no,yes,1,Low,Medium
outside_rangamati,30,m,pixel_8_pro_12/256,13729.0,yes,no,no,no,1,Low,Low
outside_rangamati,40,f,galaxy_a55_5g_8/128,21392.0,yes,no,no,no,1,Low,Medium
rangamati_sadar,30,m,redmi_note_12_pro_8/128,24270.0,no,no,no,yes,1,Low,Medium
inside_rangamati,25,f,vivo_t3x_5g_8/128,26042.0,no,no,no,yes,1,Low,Medium
outside_rangamati,34,f,galaxy_a55_5g_8/128,24364.0,no,yes,yes,no,1,Low,Medium
rangamati_sadar,38,f,galaxy_s24_ultra_12/256,33068.0,no,no,no,yes,1,Low,High
rangamati_sadar,44,f,note_14_pro_5g_8/256,23617.0,yes,no,yes,no,1,Low,Medium
rangamati_sadar,34,f,iqoo_neo_9_pro_5g_12/256,23148.0,no,no,no,yes,1,Low,Medium
inside_rangamati,49,m,pixel_8_pro_12/256,18818.0,no,no,yes,yes,1,Low,Medium
rangamati_sadar,39,m,note_11s_6/128,18704.0,no,no,no,no,0,Low,Medium
outside_rangamati,19,f,iphone_16_pro_256gb,21210.0,no,no,no,yes,1,Low,Medium
inside_rangamati,46,m,redmi_note_12_pro_8/128,19179.0,no,yes,no,yes,2,Medium,Medium
